,index,tempo_prefci,alternativas_prefci,tempo_posfci,alternativas_posfci,tempo_quest1,nota_quest1,tempo_quest2,nota_quest2,tempo_quest3,nota_quest3,tempo_quest4,nota_quest4
126,126,1800,"[4, 4, 3, 1, 2, 2, 2, 1, 2, 1, 4, 2, 2, 1, 1, 1, 1, 5, 5, 3, 5, 2, 1, 1, 4, 5, 1, 5, 2, 3]",,,,,,,,,,
127,127,2340,"[4, 4, 5, 5, 1, 2, 3, 1, 5, 4, 3, 5, 3, 4, 3, 1, 4, 3, 2, 3, 2, 2, 4, 2, 4, 1, 4, 4, 2, 4]",,,,,,,,,,
128,128,1980,"[5, 4, 5, 1, 1, 2, 1, 4, 2, 5, 2, 5, 2, 4, 2, 3, 1, 1, 2, 3, 2, 1, 4, 3, 3, 4, 3, 4, 1, 4]",2280.0,"[3, 1, 5, 5, 1, 2, 5, 3, 5, 5, 2, 5, 4, 4, 3, 3, 1, 1, 5, 2, 2, 1, 4, 3, 4, 4, 3, 4, 1, 1]",[2340],[10.0],"[1680, 1920, 720, 120]","[5.0, 2.5, 7.5, 10.0]","[2400.0, 1320.0, 900.0, 300.0, 180.0, 300.0, 180.0, 360.0, 180.0, 540.0, 60.0]","[7.5, 2.5, 0.0, 2.5, 5.0, 7.5, 5.0, 5.0, 5.0, 7.5, 10.0]","[2040, 1140, 2220, 2160, 1800, 1500, 2100, 4800, 1500, 1860, 2040, 1440, 1260, 3300, 1260]","[6.7, 8.0, 8.7, 7.3, 8.0, 8.0, 8.7, 6.7, 9.3, 8.7, 8.0, 9.3, 8.7, 8.0, 10.0]"
129,129,4020,"[4, 5, 5, 1, 3, 2, 2, 2, 5, 5, 2, 3, 2, 4, 4, 4, 5, 4, 5, 3, 5, 4, 2, 5, 2, 2, 1, 2, 1, 5]",,,"[263940, 1260]","[4.5, 7.5]","[720, 1200]","[5.0, 0.0]",,,,
130,130,2700,"[3, 1, 3, 1, 3, 4, 2, 1, 3, 1, 3, 2, 3, 4, 3, 3, 1, 4, 4, 3, 5, 4, 3, 5, 5, 1, 2, 3, 2, 5]",,,,,,,,,,
131,131,331980,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 1, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]",3960.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 5, 2, 2, 1, 3, 5, 3, 5, 2, 3]","[840, 60, 300, 120]","[7.0, 5.0, 5.0, 10.0]","[240, 300, 1140, 360, 120, 60, 60, 300]","[5.0, 5.0, 7.5, 5.0, 2.5, 7.5, 2.5, 10.0]","[4260.0, 64140.0, 360.0]","[2.5, 7.5, 10.0]","[2160, 1980, 1380, 1800, 780, 1140, 1080, 1380, 360, 540, 1080, 720]","[8.0, 8.0, 8.7, 8.7, 8.7, 8.7, 9.3, 9.3, 8.0, 9.3, 8.0, 9.3]"
132,132,1620,"[3, 1, 3, 1, 5, 1, 1, 1, 2, 5, 2, 2, 2, 1, 3, 3, 4, 5, 2, 5, 1, 4, 4, 1, 5, 4, 3, 5, 1, 2]",,,,,,,,,,
133,133,2580,"[5, 4, 2, 1, 5, 1, 5, 1, 3, 4, 2, 3, 2, 1, 3, 3, 4, 5, 1, 2, 5, 2, 4, 2, 3, 3, 4, 3, 1, 5]",,,,,,,,,,
134,134,1620,"[3, 1, 2, 5, 2, 2, 2, 2, 5, 1, 5, 2, 4, 4, 1, 1, 2, 2, 4, 4, 5, 3, 3, 2, 3, 5, 3, 5, 2, 3]",,,,,,,,,,
135,135,2520,"[3, 4, 3, 1, 3, 1, 1, 2, 3, 1, 3, 2, 3, 4, 3, 3, 4, 4, 5, 4, 5, 2, 2, 1, 5, 2, 3, 5, 4, 5]",,,,,,,,,,
136,136,1260,"[5, 4, 4, 2, 2, 1, 2, 1, 2, 5, 3, 5, 3, 3, 3, 3, 1, 5, 2, 2, 2, 1, 3, 5, 2, 2, 1, 1, 1, 3]",,,,,,,,,,
137,137,4440,"[4, 1, 3, 5, 2, 2, 2, 1, 2, 1, 1, 2, 4, 4, 1, 5, 2, 2, 4, 3, 2, 2, 3, 1, 3, 5, 2, 5, 2, 5]",9180.0,"[3, 1, 3, 5, 2, 2, 2, 2, 5, 1, 4, 2, 4, 4, 1, 1, 2, 2, 5, 4, 2, 2, 3, 1, 3, 2, 3, 5, 2, 2]","[1200, 300, 240, 120]","[10.0, 7.0, 5.0, 10.0]","[600, 600]","[5.0, 10.0]","[3300.0, 1440.0, 2700.0, 840.0, 240.0, 180.0, 240.0, 120.0, 240.0, 60.0, 120.0, 60.0, 60.0, 120.0, 0.0, 60.0, 60.0, 60.0, 120.0, 60.0, 60.0, 0.0, 0.0]","[2.5, 7.5, 7.5, 2.5, 5.0, 7.5, 5.0, 5.0, 7.5, 0.0, 7.5, 0.0, 5.0, 7.5, 2.5, 2.5, 0.0, 5.0, 7.5, 0.0, 2.5, 0.0, 10.0]","[2160, 780, 0, 1680, 60, 60, 0, 60, 60, 60, 0, 60, 60, 0, 60, 60, 0, 1140, 300, 0, 420, 0, 60, 0, 0, 0, 0, 60, 0, 0, 60, 0, 0, 0, 2280, 0, 60, 0, 0, 60, 1320, 0, 1620]","[7.7, 2.7, 0.0, 8.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.7, 0.0, 8.7, 6.0, 0.0, 4.7, 0.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.3, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 10.0]"
138,138,6960,"[4, 4, 3, 5, 3, 2, 5, 4, 2, 1, 3, 3, 3, 1, 1, 1, 1, 2, 4, 2, 2, 1, 1, 1, 3, 1, 1, 5, 2, 5]",,,,,,,,,,
139,139,14460,"[3, 4, 3, 1, 3, 1, 1, 2, 5, 3, 2, 3, 3, 1, 2, 3, 1, 5, 4, 3, 3, 4, 3, 1, 3, 1, 1, 4, 1, 2]",106920.0,"[3, 4, 2, 1, 3, 2, 1, 5, 5, 4, 3, 3, 3, 1, 3, 1, 1, 4, 4, 1, 5, 4, 3, 1, 2, 4, 1, 4, 2, 5]","[82380, 240, 120, 360, 360, 300, 60]","[2.0, 5.0, 7.5, 7.5, 2.5, 5.0, 10.0]","[1080, 180, 120, 360]","[2.5, 2.5, 5.0, 10.0]","[1920.0, 540.0]","[7.5, 2.5]",[1920],[4.0]
140,140,3660,"[3, 4, 2, 5, 4, 3, 2, 3, 5, 4, 3, 3, 1, 4, 1, 1, 2, 5, 5, 3, 5, 2, 4, 3, 5, 1, 3, 5, 4, 5]",4020.0,"[2, 2, 3, 5, 2, 3, 2, 2, 5, 4, 4, 2, 2, 1, 1, 1, 5, 2, 5, 4, 5, 2, 4, 3, 3, 1, 1, 5, 4, 3]","[540, 720, 1020]","[5.0, 10.0, 7.5]","[900, 1980, 420]","[2.5, 2.5, 7.5]",[2280.0],[2.5],[683040],[6.3]
141,141,1740,"[3, 1, 3, 1, 1, 2, 2, 3, 5, 5, 4, 5, 3, 1, 4, 4, 4, 3, 2, 4, 2, 1, 3, 4, 2, 1, 2, 4, 5, 4]",4560.0,"[3, 5, 3, 5, 2, 2, 2, 1, 2, 1, 1, 2, 4, 4, 1, 1, 2, 2, 3, 4, 5, 2, 2, 1, 3, 5, 1, 5, 2, 5]",[240],[10.0],"[480, 300, 180]","[7.5, 7.5, 10.0]",[2940.0],[10.0],[5040],[8.0]
142,142,1260,"[3, 1, 3, 1, 3, 2, 2, 4, 2, 1, 2, 2, 1, 1, 3, 3, 1, 2, 1, 3, 5, 2, 4, 3, 4, 1, 3, 5, 2, 5]",,,,,,,,,,
143,143,2520,"[3, 1, 1, 1, 5, 1, 2, 1, 2, 1, 2, 2, 3, 3, 1, 1, 1, 4, 4, 3, 2, 1, 3, 5, 5, 4, 2, 4, 1, 5]",14100.0,"[3, 1, 3, 1, 3, 1, 2, 5, 2, 4, 2, 2, 1, 4, 3, 3, 1, 4, 4, 1, 2, 5, 3, 1, 4, 2, 3, 4, 4, 5]","[1140, 540, 360, 360, 180]","[7.5, 5.0, 7.5, 7.5, 10.0]","[840, 600, 1920, 660, 300]","[2.5, 0.0, 7.5, 5.0, 10.0]","[1440.0, 840.0, 720.0, 480.0, 300.0, 240.0, 420.0, 300.0, 120.0, 60.0]","[2.5, 2.5, 5.0, 5.0, 0.0, 7.5, 5.0, 5.0, 5.0, 7.5]","[8100, 45360, 3360]","[5.0, 4.9, 6.7]"
144,144,540,"[3, 1, 3, 1, 2, 4, 1, 5, 4, 2, 3, 3, 2, 1, 4, 4, 4, 1, 4, 5, 2, 4, 5, 4, 4, 3, 2, 2, 4, 4]",,,,,,,,,,
145,145,2700,"[1, 1, 3, 1, 4, 2, 1, 2, 3, 1, 3, 2, 3, 2, 3, 1, 1, 4, 4, 3, 2, 1, 3, 1, 4, 1, 2, 5, 2, 5]",1260.0,"[1, 2, 3, 1, 4, 2, 3, 1, 2, 1, 4, 2, 3, 2, 3, 1, 1, 4, 4, 3, 2, 1, 3, 4, 5, 1, 2, 4, 2, 5]","[180, 120]","[7.5, 7.5]","[180, 840]","[5.0, 7.5]","[780.0, 1260.0, 1080.0]","[0.0, 2.5, 7.5]","[2040, 1740, 1500, 2520]","[7.0, 6.0, 6.0, 8.0]"
146,146,450240,"[3, 1, 3, 5, 4, 2, 2, 5, 2, 3, 3, 2, 3, 2, 1, 1, 1, 5, 5, 3, 5, 1, 5, 3, 4, 2, 3, 5, 2, 5]",,,,,,,,,,
